name,type,Average,Variance,Std,Min,Max,Geometric_mean,Harmonic_mean
zzzzzz.xxxxxx.cccccc,Malware,18.84625373,1677.490579,40.95717983,3.042,500,11.94963968,10.00093455
zzzzzz.xxxxxx.cccccc,Malware,16.69943284,2587.691372,50.86935593,2.51,500,9.71786131,8.518055625
zzzzzz.xxxxxx.cccccc,Malware,16.7831592,2662.016179,51.59473015,3.481,500,10.06489404,9.0892252
zzzzzz.xxxxxx.cccccc,Malware,17.92647761,2613.33278,51.12076662,3.562,500,10.79553445,9.561889731
zzzzzz.xxxxxx.cccccc,Malware,21.214365,1851.951545,43.03430661,2.83,500,12.0587291,9.356912119
zzzzzz.xxxxxx.cccccc,Malware,27.96925616,4542.778162,67.40013473,3.308,500,14.10866158,10.96216257
zzzzzz.xxxxxx.cccccc,Malware,13.57340796,1377.620826,37.11631482,2.873,500,9.238759718,8.289244179
zzzzzz.xxxxxx.cccccc,Malware,10.196045,101.7969365,10.08944679,2.926,127.965,9.079167453,8.575545275
zzzzzz.xxxxxx.cccccc,Malware,17.73304975,1508.704434,38.84204466,2.996,500,11.66114756,9.907749526
zzzzzz.xxxxxx.cccccc,Malware,19.5999403,2628.671623,51.27057268,3.084,500,11.707875,9.921915002
zzzzzz.xxxxxx.cccccc,Malware,20.13464677,2828.858187,53.18701145,3.457,500,11.02471261,9.267772872
org.underdev.penetratepro,Malware,15.76125166,2057.418167,45.35877166,2.492,500,8.834882302,7.644307517
org.underdev.penetratepro,Malware,13.9825814,1814.8638,42.6012183,2.307,500,8.43586779,7.401165185
org.underdev.penetratepro,Malware,15.85512583,2679.190988,51.76090212,2.373,500,8.654838197,7.579644395
org.underdev.penetratepro,Malware,14.88257807,1891.212603,43.48807426,2.29,500,8.846894003,7.750595671
org.underdev.penetratepro,Malware,13.9223289,1848.561492,42.99490077,2.567,500,8.478215165,7.561176276
org.underdev.penetratepro,Malware,23.80217219,3163.065771,56.24113949,2.47,500,11.04586776,8.245396049
org.underdev.penetratepro,Malware,14.6061755,1883.408791,43.39825792,2.469,500,8.688827913,7.621994211
org.underdev.penetratepro,Malware,16.08112252,2704.31227,52.00300251,2.528,500,8.828883257,7.858289693
org.underdev.penetratepro,Malware,23.96425166,3377.484698,58.11613113,2.246,500,10.88969387,8.437756466
org.underdev.penetratepro,Malware,13.12559468,1739.571589,41.70817173,2.29,500,8.506819375,7.770589781
org.underdev.penetratepro,Malware,16.58138079,2747.548785,52.41706578,2.148,500,8.811079058,7.619452033
org.underdev.penetratepro,Malware,15.93377815,2589.723377,50.88932478,2.454,500,8.96003922,7.877955528
org.underdev.penetratepro,Malware,16.26711258,2001.34267,44.73636854,1.958,500,9.139523198,7.76744371
org.underdev.penetratepro,Malware,15.65875166,1974.804336,44.43877063,2.647,500,8.978474493,7.82686329
org.underdev.penetratepro,Malware,15.43890728,2602.641792,51.01609346,2.243,500,8.574117962,7.559132224
org.underdev.penetratepro,Malware,16.23034437,2663.931053,51.61328369,2.604,500,8.767658788,7.644339211
org.underdev.penetratepro,Malware,15.13920861,1991.411843,44.62523774,2.037,500,8.791938022,7.69767814
org.underdev.penetratepro,Malware,18.11654636,2150.06389,46.36878142,2.676,500,9.745302451,8.075613286
org.underdev.penetratepro,Malware,15.875,2074.222771,45.5436359,2.332,500,8.858216833,7.625349166
org.underdev.penetratepro,Malware,14.98825249,1980.014424,44.497353,2.131,500,8.658328499,7.567343428
